Absolute Zero	absolutezero	#0048BA	Wikipedia
Acid Green	acidgreen	#B0BF1A	Wikipedia
Aero	aero	#7CB9E8	Wikipedia
African Violet	africanviolet	#B284BE	Wikipedia
Agate Grey	agategrey	#B4B8B0	RAL
Air Superiority Blue	airsuperiorityblue	#72A0C1	Wikipedia
Alabaster	alabaster	#F2F0E6	Wikipedia
Alice Blue	aliceblue	#F0F8FF	CSS
Alizarin	alizarin	#DB2D43	Wikipedia
Alloy Orange	alloyorange	#C46210	Wikipedia
Almond	almond	#EED9C4	Crayola
Amaranth	amaranth	#E52B50	Wikipedia
Amaranth Deep Purple	amaranthdeeppurple	#9F2B68	Wikipedia
Amaranth Pink	amaranthpink	#F19CBB	Wikipedia
Amaranth Purple	amaranthpurple	#AB274F	Wikipedia
Amazon	amazon	#3B7A57	Wikipedia
Amber	amber	#FFBF00	Wikipedia
Amethyst	amethyst	#9966CC	Wikipedia
Android Green	androidgreen	#3DDC84	Wikipedia
Anthracite Grey	anthracitegrey	#373F43	RAL
Antique Brass	antiquebrass	#C88A65	Crayola
Antique Bronze	antiquebronze	#665D1E	Wikipedia
Antique Fuchsia	antiquefuchsia	#915C83	Wikipedia
Antique Pink	antiquepink	#D47479	RAL
Antique Ruby	antiqueruby	#841B2D	Wikipedia
Antique White	antiquewhite	#FAEBD7	CSS
Apricot	apricot	#FBCEB1	Crayola
Aqua	aqua	#00FFFF	CSS
Aquamarine	aquamarine	#7FFFD4	CSS
Arctic Lime	arcticlime	#D0FF14	Wikipedia
Artichoke Green	artichokegreen	#4B6F44	Wikipedia
Arylide Yellow	arylideyellow	#E9D66B	Wikipedia
Ash Gray	ashgray	#B2BEB5	Wikipedia
Asparagus	asparagus	#7BA05B	Crayola
Atomic Tangerine	atomictangerine	#FF9966	Wikipedia
Aureolin	aureolin	#FDEE00	Wikipedia
Aztec Gold	aztecgold	#C39953	Wikipedia
Azure	azure	#F0FFFF	CSS
Azure Blue	azureblue	#2E5978	RAL
B'dazzled Blue	bdazzledblue	#2E5894	Wikipedia
Baby Blue	babyblue	#89CFF0	Wikipedia
Baby Blue Eyes	babyblueeyes	#A1CAF1	Wikipedia
Baby Pink	babypink	#F4C2C2	Wikipedia
Baby Powder	babypowder	#FEFEFA	Wikipedia
Baker-Miller Pink	bakermillerpink	#FF91AF	Wikipedia
Banana Mania	bananamania	#FAE7B5	Crayola
Barbie Pink	barbiepink	#DA1884	Wikipedia
Barn Red	barnred	#7C0A02	Wikipedia
Basalt Grey	basaltgrey	#596163	RAL
Battleship Grey	battleshipgrey	#848482	Wikipedia
Beau Blue	beaublue	#BCD4E6	Wikipedia
Beaver	beaver	#9F8170	Crayola
Beige	beige	#F5F5DC	CSS
Beige Brown	beigebrown	#79553C	RAL
Beige Grey	beigegrey	#756F61	RAL
Beige Red	beigered	#CB8D73	RAL
Berry Parfait	berryparfait	#A43482	Wikipedia
Big Dip O'ruby	bigdiporuby	#9C2542	Wikipedia
Big Foot Feet	bigfootfeet	#E88E5A	Wikipedia
Bisque	bisque	#FFE4C4	CSS
Bistre	bistre	#3D2B1F	Wikipedia
Bistre Brown	bistrebrown	#967117	Wikipedia
Bitter Lemon	bitterlemon	#CAE00D	Wikipedia
Bittersweet	bittersweet	#FE6F5E	Crayola
Bittersweet Shimmer	bittersweetshimmer	#BF4F51	Wikipedia
Black	black	#000000	CSS
Black Bean	blackbean	#3D0C02	Wikipedia
Black Blue	blackblue	#1D1F2A	RAL
Black Brown	blackbrown	#211F20	RAL
Black Coral	blackcoral	#54626F	Wikipedia
Black Green	blackgreen	#31403D	RAL
Black Grey	blackgrey	#2E3234	RAL
Black Olive	blackolive	#3B3C36	RAL
Black Red	blackred	#402225	RAL
Black Shadows	blackshadows	#BFAFB2	Wikipedia
Blanched Almond	blanchedalmond	#FFEBCD	CSS
Blast-off Bronze	blastoffbronze	#A57164	Wikipedia
Bleu De France	bleudefrance	#318CE7	Wikipedia
Blizzard Blue	blizzardblue	#ACE5EE	Wikipedia
Blood Red	bloodred	#660000	Wikipedia
Blue	blue	#0000FF	CSS
Blue Bell	bluebell	#A2A2D0	Crayola
Blue Green	bluegreen	#0E4243	RAL
Blue Grey	bluegrey	#5D6970	RAL
Blue Jeans	bluejeans	#5DADEC	Wikipedia
Blue Lilac	bluelilac	#83639D	RAL
Blue Ribbon	blueribbon	#0B10A2	Wikipedia
Blue Sapphire	bluesapphire	#126180	Wikipedia
Blue Violet	blueviolet	#8A2BE2	CSS
Blue Yonder	blueyonder	#5072A7	Wikipedia
Blue-gray	bluegray	#6699CC	Crayola
Blue-violet	blueviolet	#8A2BE2	CSS
Blueberry	blueberry	#4F86F7	Wikipedia
Bluetiful	bluetiful	#3C69E7	Crayola
Blush	blush	#DE5D83	Crayola
Bole	bole	#79443B	Wikipedia
Bone	bone	#E3DAC9	Wikipedia
Booger Buster	boogerbuster	#DDE26A	Wikipedia
Bottle Green	bottlegreen	#283424	RAL
Brick Red	brickred	#CB4154	Crayola
Bright Green	brightgreen	#66FF00	Wikipedia
Bright Lilac	brightlilac	#D891EF	Wikipedia
Bright Maroon	brightmaroon	#C32148	Wikipedia
Bright Navy Blue	brightnavyblue	#1974D2	Wikipedia
Bright Pink	brightpink	#FF007F	Wikipedia
Bright Red Orange	brightredorange	#F3752C	RAL
Bright Turquoise	brightturquoise	#08E8DE	Wikipedia
Bright Yellow	brightyellow	#FFAA1D	Wikipedia
Brilliant Blue	brilliantblue	#41678D	RAL
Brilliant Rose	brilliantrose	#E667CE	Crayola
Brink Pink	brinkpink	#FB607F	Wikipedia
British Racing Green	britishracinggreen	#004225	Wikipedia
Bronze	bronze	#CD7F32	Wikipedia
Broom Yellow	broomyellow	#E2A300	RAL
Brown	brown	#A52A2A	CSS
Brown Beige	brownbeige	#AF804F	RAL
Brown Green	browngreen	#35382E	RAL
Brown Grey	browngrey	#555548	RAL
Brown Red	brownred	#7E292C	RAL
Brown Sugar	brownsugar	#AF6E4D	Wikipedia
Bud Green	budgreen	#7BB661	Wikipedia
Buff	buff	#FFC680	Wikipedia
Burgundy	burgundy	#800020	Wikipedia
Burlywood	burlywood	#DEB887	CSS
Burnished Brown	burnishedbrown	#A17A74	Wikipedia
Burnt Orange	burntorange	#CC5500	Crayola
Burnt Sienna	burntsienna	#E97451	Crayola
Burnt Umber	burntumber	#8A3324	Crayola
Byzantine	byzantine	#BD33A4	Wikipedia
Byzantium	byzantium	#702963	Wikipedia
Cadet	cadet	#536872	Wikipedia
Cadet Blue	cadetblue	#5F9EA0	CSS
Cadet Grey	cadetgrey	#91A3B0	Wikipedia
Cadmium Green	cadmiumgreen	#006B3C	Wikipedia
Cadmium Orange	cadmiumorange	#ED872D	Wikipedia
Cadmium Red	cadmiumred	#E30022	Wikipedia
Cadmium Yellow	cadmiumyellow	#FFF600	Wikipedia
Café Au Lait	cafeaulait	#A67B5B	Wikipedia
Café Noir	cafenoir	#4B3621	Wikipedia
Cambridge Blue	cambridgeblue	#A3C1AD	Wikipedia
Camel	camel	#C19A6B	Wikipedia
Cameo Pink	cameopink	#EFBBCC	Wikipedia
Canary	canary	#FFFF99	Crayola
Canary Yellow	canaryyellow	#FFEF00	Wikipedia
Candy Apple Red	candyapplered	#FF0800	Wikipedia
Candy Pink	candypink	#E4717A	Wikipedia
Capri Blue	capriblue	#1A5784	RAL
Cardinal	cardinal	#C41E3A	Wikipedia
Caribbean Green	caribbeangreen	#00CC99	Crayola
Carmine	carmine	#960018	Crayola
Carmine Red	carminered	#A1232B	RAL
Carnation Pink	carnationpink	#FFA6C9	Crayola
Carnelian	carnelian	#B31B1B	Wikipedia
Carolina Blue	carolinablue	#56A0D3	Wikipedia
Carrot Orange	carrotorange	#ED9121	Wikipedia
Catawba	catawba	#703642	Wikipedia
Cedar Chest	cedarchest	#C95A49	Wikipedia
Celadon	celadon	#ACE1AF	Wikipedia
Celeste	celeste	#B2FFFF	Wikipedia
Celestial Blue	celestialblue	#7070CC	Crayola
Cement Grey	cementgrey	#818979	RAL
Cerise	cerise	#DE3163	Crayola
Cerulean	cerulean	#007BA7	Crayola
Cerulean Blue	ceruleanblue	#2A52BE	Crayola
Cerulean Frost	ceruleanfrost	#6D9BC3	Wikipedia
Champagne	champagne	#F7E7CE	Wikipedia
Champagne Pink	champagnepink	#F1DDCF	Wikipedia
Charcoal	charcoal	#36454F	Wikipedia
Charcoal Gray	charcoalgray	#736A62	Crayola
Charleston Green	charlestongreen	#232B2B	Wikipedia
Charm Pink	charmpink	#E68FAC	Wikipedia
Chartreuse	chartreuse	#7FFF00	CSS
Cherry Blossom Pink	cherryblossompink	#FFB7C5	Wikipedia
Chestnut	chestnut	#954535	Crayola
Chestnut Brown	chestnutbrown	#633A34	RAL
Chili Red	chilired	#E23D28	Wikipedia
China Pink	chinapink	#DE6FA1	Wikipedia
Chinese Red	chinesered	#AA381E	Wikipedia
Chinese Violet	chineseviolet	#856088	Wikipedia
Chinese Yellow	chineseyellow	#FFB200	Wikipedia
Chocolate	chocolate	#D2691E	CSS
Chocolate Brown	chocolatebrown	#44322D	RAL
Chrome Green	chromegreen	#354733	RAL
Cinereous	cinereous	#98817B	Wikipedia
Cinnabar	cinnabar	#E34234	Wikipedia
Cinnamon Satin	cinnamonsatin	#CD607E	Wikipedia
Citrine	citrine	#E4D00A	Wikipedia
Citron	citron	#9FA91F	Wikipedia
Claret	claret	#7F1734	Wikipedia
Claret Violet	claretviolet	#691639	RAL
Clay Brown	claybrown	#80542F	RAL
Clean Room White	cleanroomwhite	#FFFDE6	RAL
Cobalt Blue	cobaltblue	#232D53	RAL
Cocoa Brown	cocoabrown	#D2691E	Wikipedia
Coconut	coconut	#965A3E	Wikipedia
Coffee	coffee	#6F4E37	Wikipedia
Columbia Blue	columbiablue	#B9D9EB	Wikipedia
Colza Yellow	colzayellow	#F6B600	RAL
Concrete Grey	concretegrey	#818479	RAL
Congo Pink	congopink	#F88379	Wikipedia
Cool Grey	coolgrey	#8C92AC	Wikipedia
Cool Mint	coolmint	#DDEBEC	Crayola
Copper	copper	#B87333	Crayola
Copper Brown	copperbrown	#8F4E35	RAL
Copper Penny	copperpenny	#AD6F69	Wikipedia
Copper Red	copperred	#CB6D51	Wikipedia
Copper Rose	copperrose	#996666	Wikipedia
Coquelicot	coquelicot	#FF3800	Wikipedia
Coral	coral	#FF7F50	CSS
Coral Pink	coralpink	#F88379	Wikipedia
Coral Red	coralred	#AC4034	RAL
Cordovan	cordovan	#893F45	Wikipedia
Corn	corn	#FBEC5D	Wikipedia
Cornflower	cornflower	#93CCEA	Crayola
Cornflower Blue	cornflowerblue	#6495ED	CSS
Cornsilk	cornsilk	#FFF8DC	CSS
Cosmic Cobalt	cosmiccobalt	#2E2D88	Wikipedia
Cosmic Latte	cosmiclatte	#FFF8E7	Wikipedia
